ident	Longitude	Latitude	comment
29_7622	794500	7759700	start
49_7622	794900	7759700	start
58_7622	795100	7759500	start
66_7622	795300	7759100	start
69_7622	795300	7759700	start
76_7622	795500	7759100	start
86_7622	795700	7759100	start
87_7622	795700	7759300	start
97_7622	795900	7759300	start
99_7622	795900	7759700	start
36_7659	794700	7833100	start
46_7659	794900	7833100	start
2_7818	796100	7828300	start
4_7818	796100	7828700	start
13_7818	796300	7828500	start
14_7818	796300	7828700	start
23_7818	796500	7828500	start
24_7818	796500	7828700	start
2_8141	800100	7830300	start
8_8459	804100	7823500	start
28_8459	804500	7823500	start
30_8459	804500	7823900	start
7_8460	804100	7825300	start
47_8460	804900	7825300	start
56_8460	805100	7825100	start
57_8460	805100	7825300	start
78_8460	805500	7825500	start
88_8460	805700	7825500	start
97_8460	805900	7825300	start
6_8781	808100	7823100	start
16_8781	808300	7823100	start
21_8781	808500	7822100	start
23_8781	808500	7822500	start
24_8781	808500	7822700	start
26_8781	808500	7823100	start
15_8944	810300	7826900	start
17_8944	810300	7827300	start
24_8944	810500	7826700	start
34_8944	810700	7826700	start
38_8944	810700	7827500	start
47_8944	810900	7827300	start
49_8944	810900	7827700	start
69_8944	811300	7827700	start
55_9107	813100	7830900	start
57_9107	813100	7831300	start
65_9107	813300	7830900	start
78_9107	813500	7831500	start
79_9107	813500	7831700	start
86_9107	813700	7831100	start
87_9107	813700	7831300	start
36_9113	812700	7843100	start
46_9113	812900	7843100	start
49_9113	812900	7843700	start
55_9113	813100	7842900	start
57_9113	813100	7843300	start
60_9113	813100	7843900	start
65_9113	813300	7842900	start
68_9113	813300	7843500	start
77_9113	813500	7843300	start
78_9113	813500	7843500	start
80_9113	813500	7843900	start
89_9113	813700	7843700	start
26_9114	812500	7845100	start
27_9114	812500	7845300	start
44_9114	812900	7844700	start
45_9114	812900	7844900	start
47_9114	812900	7845300	start
64_9114	813300	7844700	start
71_9114	813500	7844100	start
81_9114	813700	7844100	start
83_9114	813700	7844500	start
92_9114	813900	7844300	start
42_9119	812900	7854300	start
44_9119	812900	7854700	start
51_9119	813100	7854100	start
58_9119	813100	7855500	start
61_9119	813300	7854100	start
62_9119	813300	7854300	start
66_9119	813300	7855100	start
67_9119	813300	7855300	start
69_9119	813300	7855700	start
71_9119	813500	7854100	start
73_9119	813500	7854500	start
74_9119	813500	7854700	start
81_9119	813700	7854100	start
83_9119	813700	7854500	start
84_9119	813700	7854700	start
91_9119	813900	7854100	start
13_9273	814300	7840500	start
23_9273	814500	7840500	start
33_9273	814700	7840500	start
37_9273	814700	7841300	start
38_9273	814700	7841500	start
42_9273	814900	7840300	start
44_9273	814900	7840700	start
45_9273	814900	7840900	start
48_9273	814900	7841500	start
49_9273	814900	7841700	start
52_9273	815100	7840300	start
53_9273	815100	7840500	start
60_9273	815100	7841900	start
13_9278	814300	7850500	start
14_9278	814300	7850700	start
23_9278	814500	7850500	start
24_9278	814500	7850700	start
33_9278	814700	7850500	start
37_9278	814700	7851300	start
38_9278	814700	7851500	start
46_9278	814900	7851100	start
48_9278	814900	7851500	start
53_9278	815100	7850500	start
63_9278	815300	7850500	start
73_9278	815500	7850500	start
74_9278	815500	7850700	start
76_9278	815500	7851100	start
78_9278	815500	7851500	start
83_9278	815700	7850500	start
4_9929	822100	7864700	start
8_9929	822100	7865500	start
9_9929	822100	7865700	start
11_9929	822300	7864100	start
12_9929	822300	7864300	start
13_9929	822300	7864500	start
23_9929	822500	7864500	start
27_9929	822500	7865300	start
44_9929	822900	7864700	start
46_9929	822900	7865100	start
53_9929	823100	7864500	start
54_9929	823100	7864700	start
56_9929	823100	7865100	start
8_10251	826100	7865500	start
15_10251	826300	7864900	start
17_10251	826300	7865300	start
35_10251	826700	7864900	start
36_10251	826700	7865100	start
37_10251	826700	7865300	start
38_10251	826700	7865500	start
44_10251	826900	7864700	start
49_10251	826900	7865700	start
68_10251	827300	7865500	start
76_10251	827500	7865100	start
39_10566	830700	7851700	start
40_10566	830700	7851900	start
50_10566	830900	7851900	start
59_10566	831100	7851700	start
67_10566	831300	7851300	start
68_10566	831300	7851500	start
69_10566	831300	7851700	start
77_10566	831500	7851300	start
85_10566	831700	7850900	start
90_10566	831700	7851900	start
99_10566	831900	7851700	start
16_10568	830300	7855100	start
34_10568	830700	7854700	start
36_10568	830700	7855100	start
37_10568	830700	7855300	start
45_10568	830900	7854900	start
46_10568	830900	7855100	start
47_10568	830900	7855300	start
62_10568	831300	7854300	start
64_10568	831300	7854700	start
69_10568	831300	7855700	start
70_10568	831300	7855900	start
74_10568	831500	7854700	start
79_10568	831500	7855700	start
80_10568	831500	7855900	start
82_10568	831700	7854300	start
83_10568	831700	7854500	start
88_10568	831700	7855500	start
89_10568	831700	7855700	start
30_10571	830500	7861900	start
47_10571	830900	7861300	start
59_10571	831100	7861700	start
70_10571	831300	7861900	start
77_10571	831500	7861300	start
79_10571	831500	7861700	start
88_10571	831700	7861500	start
89_10571	831700	7861700	start
35_10728	832700	7852900	start
45_10728	832900	7852900	start
54_10728	833100	7852700	start
58_10728	833100	7853500	start
61_10728	833300	7852100	start
72_10728	833500	7852300	start
